schema_name;relname;index_name;indisunique
"acquiring_request";"acqreq_aclib_actor_role";"acqreq_aclib_actor_role_role_id_actor_id_idx";"f"
"acquiring_request";"acqreq_aclib_permission";"acqreq_aclib_permission_role_id_idx";"f"
"acquiring_request";"acqreq_batch_doc";"acqreq_batch_doc_batch_id_idx";"f"
"acquiring_request";"acqreq_check_matrix";"acqreq_check_matrix_doc_type_id_idx";"f"
"acquiring_request";"acqreq_check_message";"acqreq_check_message_check_id_idx";"f"
"acquiring_request";"acqreq_check_version";"acqreq_check_version_check_id_idx";"f"
"acquiring_request";"acqreq_connection_request";"acqreq_connection_request_uuid_idx";"f"
"acquiring_request";"acqreq_connection_request_activated_models";"acqreq_connection_request_activated_models_connection_request_i";"f"
"acquiring_request";"acqreq_doc_check";"acqreq_doc_check_matrix_id_idx";"f"
"acquiring_request";"acqreq_doc_signer";"acqreq_doc_signer_doc_id_idx";"f"
"acquiring_request";"acqreq_dra_qrtz_fired_triggers";"dra_idx_qrtz_ft_trig_inst_name";"f"
"acquiring_request";"acqreq_dra_qrtz_triggers";"dra_idx_qrtz_t_nft_misfire";"f"
"acquiring_request";"acqreq_dra_qrtz_triggers";"dra_idx_qrtz_t_g";"f"
"acquiring_request";"acqreq_dra_qrtz_triggers";"dra_idx_qrtz_t_state";"f"
"acquiring_request";"acqreq_edoc_digest";"acqreq_edoc_digest_uuid_idx";"f"
"acquiring_request";"acqreq_package_item";"acqreq_package_item_package_id_idx";"f"
"acquiring_request";"acqreq_pclib_business_object";"acqreq_pclib_business_object_sysname_uniq_idx";"t"
"acquiring_request";"acqreq_pclib_business_operation";"acqreq_pclib_business_operation_sysname_uniq_idx";"t"
"acquiring_request";"acqreq_pclib_business_service";"acqreq_pclib_business_service_sysname_uniq_idx";"t"
"acquiring_request";"acqreq_rule_param";"acqreq_rule_param_rule_id_idx";"f"
"acquiring_request";"qrtz_fired_triggers";"idx_qrtz_ft_trig_inst_name";"f"
"acquiring_request";"qrtz_triggers";"idx_qrtz_t_nft_misfire";"f"
"acquiring_request";"qrtz_triggers";"idx_qrtz_t_state";"f"
"acquiring_request";"qrtz_triggers";"idx_qrtz_t_g";"f"
"adrstyp";"adt_aclib_actor";"adt_aclib_role_user_id_block_type_idx";"f"
"adrstyp";"adt_aclib_actor";"adt_aclib_actor_client_id_idx";"f"
"adrstyp";"adt_aclib_actor_role";"adt_aclib_actor_role_role_id_actor_id_idx";"f"
"adrstyp";"adt_aclib_actor_role";"adt_aclib_actor_role_role_id_idx";"f"
"adrstyp";"adt_aclib_permission";"adt_aclib_permission_role_id_idx";"f"
"agr_migrated";"agr_aclib_actor";"agr_aclib_actor_user_id_idx";"f"
"agr_migrated";"agr_aclib_actor";"agr_aclib_actor_client_id_idx";"f"
"agr_migrated";"agr_aclib_actor";"agr_aclib_role_user_id_block_type_idx";"f"
"agr_migrated";"agr_aclib_actor_account";"agr_aclib_actor_account_actor_id_idx";"f"
"agr_migrated";"agr_aclib_actor_role";"agr_aclib_actor_role_role_id_actor_id_idx";"f"
"agr_migrated";"agr_aclib_actor_role";"agr_aclib_actor_role_role_id_idx";"f"
"agr_migrated";"agr_aclib_client_master";"agr_aclib_client_id_idx";"f"
"agr_migrated";"agr_aclib_permission";"agr_aclib_permission_role_id_idx";"f"
"agr_migrated";"agr_dclib_qrtz_fired_triggers";"idx_qrtz_ft_trig_inst_name";"f"
"agr_migrated";"agr_dclib_qrtz_triggers";"idx_qrtz_t_state";"f"
"agr_migrated";"agr_dclib_qrtz_triggers";"idx_qrtz_t_g";"f"
"agr_migrated";"agr_dclib_qrtz_triggers";"idx_qrtz_t_nft_misfire";"f"
"agr_migrated";"agr_pclib_business_object";"agr_pclib_business_object_sysname_uniq_idx";"t"
"agr_migrated";"agr_pclib_business_operation";"agr_pclib_business_operation_sysname_uniq_idx";"t"
"agr_migrated";"agr_pclib_business_service";"agr_pclib_business_service_sysname_uniq_idx";"t"
"appj";"appj_aclib_actor";"appj_aclib_role_user_id_block_type_idx";"f"
"appj";"appj_aclib_actor";"appj_aclib_actor_client_id_idx";"f"
"appj";"appj_aclib_actor_role";"appj_aclib_actor_role_role_id_actor_id_idx";"f"
"appj";"appj_aclib_actor_role";"appj_aclib_actor_role_role_id_idx";"f"
"appj";"appj_aclib_permission";"appj_aclib_permission_role_id_idx";"f"
"appj";"appj_pclib_business_object";"appj_pclib_business_object_sysname_uniq_idx";"t"
"appj";"appj_pclib_business_operation";"appj_pclib_business_operation_sysname_uniq_idx";"t"
"appj";"appj_pclib_business_service";"appj_pclib_business_service_sysname_uniq_idx";"t"
"attch_migrated";"qrtz_fired_triggers";"idx_qrtz_ft_trig_inst_name";"f"
"attch_migrated";"qrtz_triggers";"idx_qrtz_t_nft_misfire";"f"
"attch_migrated";"qrtz_triggers";"idx_qrtz_t_state";"f"
"attch_migrated";"qrtz_triggers";"idx_qrtz_t_g";"f"
"attp";"attp_aclib_actor";"attp_aclib_role_user_id_block_type_idx";"f"
"attp";"attp_aclib_actor";"attp_aclib_actor_client_id_idx";"f"
"attp";"attp_aclib_actor_role";"attp_aclib_actor_role_role_id_idx";"f"
"attp";"attp_aclib_actor_role";"attp_aclib_actor_role_role_id_actor_id_idx";"f"
"attp";"attp_aclib_permission";"attp_aclib_permission_role_id_idx";"f"
"aud_migrated";"aud_aclib_actor";"aud_aclib_actor_client_id_idx";"f"
"aud_migrated";"aud_aclib_actor";"aud_aclib_role_user_id_block_type_idx";"f"
"aud_migrated";"aud_aclib_actor_role";"aud_aclib_actor_role_role_id_actor_id_idx";"f"
"aud_migrated";"aud_aclib_actor_role";"aud_aclib_actor_role_role_id_idx";"f"
"aud_migrated";"aud_aclib_permission";"aud_aclib_permission_role_id_idx";"f"
"aud_migrated";"aud_pclib_business_object";"aud_pclib_business_object_sysname_uniq_idx";"t"
"aud_migrated";"aud_pclib_business_operation";"aud_pclib_business_operation_sysname_uniq_idx";"t"
"aud_migrated";"aud_pclib_business_service";"aud_pclib_business_service_sysname_uniq_idx";"t"
